,datestr,city,state,shape,duration_description,start_dt,duration_secs,end_dt,location_name,lon,lat
1,3/16/17 23:30,Ruso,ND,light,30 seconds,2017-03-16 23:30:00,30.0,2017-03-16 23:30:30,ND Ruso,-100.9334809,47.8383369
3,3/16/17 21:41,Salem,OR,flash,3 seconds,2017-03-16 21:41:00,3.0,2017-03-16 21:41:03,OR Salem,-123.0350963,44.9428975
4,3/16/17 21:00,Auburn,WA,light,10 minutes,2017-03-16 21:00:00,600.0,2017-03-16 21:10:00,WA Auburn,-122.2284532,47.3073228
5,3/16/17 20:12,Tempe,AZ,other,50 minutes,2017-03-16 20:12:00,3000.0,2017-03-16 21:02:00,AZ Tempe,-111.9400054,33.4255104
6,3/16/17 19:35,Chandler,AZ,triangle,1 minute,2017-03-16 19:35:00,60.0,2017-03-16 19:36:00,AZ Chandler,-111.8412502,33.3061605
7,3/16/17 17:00,Las Cruces,NM,fireball,<1 hour,2017-03-16 17:00:00,3600.0,2017-03-16 18:00:00,NM Las Cruces,-106.7636538,32.3199396
8,3/16/17 06:35,Dallas (Lakewood area),TX,flash,15 seconds,2017-03-16 06:35:00,15.0,2017-03-16 06:35:15,TX Dallas (Lakewood area),-96.7428052,32.83455
9,3/16/17 00:00,Springfield,MO,disk,45 seconds,2017-03-16 00:00:00,45.0,2017-03-16 00:00:45,MO Springfield,-93.2922989,37.2089572
12,3/15/17 21:00,St. Augustine,FL,triangle,1 minute,2017-03-15 21:00:00,60.0,2017-03-15 21:01:00,FL St. Augustine,-81.3124341,29.9012437
13,3/15/17 20:35,Madison,WI,other,30 seconds,2017-03-15 20:35:00,30.0,2017-03-15 20:35:30,WI Madison,-89.4124875,43.076592
14,3/15/17 20:21,San Diego,CA,formation,13 minutes,2017-03-15 20:21:00,780.0,2017-03-15 20:34:00,CA San Diego,-117.1610838,32.715738
15,3/15/17 19:55,San Diego,CA,circle,2 minutes,2017-03-15 19:55:00,120.0,2017-03-15 19:57:00,CA San Diego,-117.1610838,32.715738
16,3/15/17 17:50,Chesnee,SC,light,10 minutes,2017-03-15 17:50:00,600.0,2017-03-15 18:00:00,SC Chesnee,-81.8609371,35.1484549
17,3/15/17 17:50,Phoenix,AZ,oval,5 minutes,2017-03-15 17:50:00,300.0,2017-03-15 17:55:00,AZ Phoenix,-112.0740373,33.4483771
18,3/15/17 09:51,Huntsville,AL,disk,~6 minutes,2017-03-15 09:51:00,360.0,2017-03-15 09:57:00,AL Huntsville,-86.5861037,34.7303688
19,3/15/17 07:15,Phoenix,AZ,circle,25 minutes,2017-03-15 07:15:00,1500.0,2017-03-15 07:40:00,AZ Phoenix,-112.0740373,33.4483771
21,3/15/17 03:00,Volcano,CA,light,2 hours,2017-03-15 03:00:00,7200.0,2017-03-15 05:00:00,CA Volcano,-120.6307628,38.4429658
22,3/14/17 23:50,Aliso Viejo,CA,light,30 minutes,2017-03-14 23:50:00,1800.0,2017-03-15 00:20:00,CA Aliso Viejo,-117.7256083,33.5676842
