datestr,city,state,shape,duration_description
3/23/17 07:50,Asheville,NC,Cigar,2 minutes
3/22/17 22:25,Frederick,MD,Formation,4-5 seconds
3/22/17 22:15,Dover,NH,Triangle,5 minutes
3/22/17 21:30,North Richland Hills,TX,Light,30 seconds
3/22/17 20:00,Sheboygan,WI,Fireball,5-10 minutes
3/22/17 12:00,,NY,Other,3 hours
3/22/17 07:35,Raeford,NC,Unknown,2 orange color lights app
3/22/17 01:00,Kansas City,MO,Formation,3 seconds
3/21/17 22:45,New Paltz,NY,Formation,10 seconds
3/21/17 21:30,Suffolk,VA,Circle,10 seconds
3/21/17 21:15,Brandon,FL,Triangle,2-3 minutes
3/21/17 21:14,Miramar,CA,Formation,5 minutes
3/21/17 21:00,Framingham,MA,Light,10 minutes
3/21/17 21:00,Altoona,AL,Triangle,2 hours
3/21/17 20:42,Livonia,NY,Circle,30 seconds
3/21/17 20:15,St. Louis,MO,Fireball,10 seconds
3/21/17 19:50,Southaven,MS,Fireball,90-120 seconds
3/21/17 19:00,New Orleans (80 mi. SE of; Gulf of Mexico),LA,Oval,40 seconds
3/21/17 17:30,Weston,FL,Flash,45 minutes
3/21/17 08:40,Plant City,FL,Circle,2 minutes
3/21/17 05:30,Woodstock (Canada),ON,Light,30 seconds
3/21/17 04:00,Athens,WV,Chevron,3 seconds
3/20/17 23:00,Ajo,AZ,Triangle,5 minutes
3/20/17 22:30,Colorado Springs,CO,Fireball,5 minutes
3/20/17 22:30,Peyton,CO,Circle,10 minutes
3/20/17 22:30,Nambour (Australia),,Disk,45
3/20/17 22:10,St. Augustine,FL,Triangle,20 seconds
3/20/17 21:30,Cranston,RI,Light,7-8 seconds
3/20/17 20:27,Rolla,MO,Oval,13 seconds
3/20/17 20:27,Rolla,MO,Oval,8-15 seconds
3/20/17 20:15,Chandler,AZ,Fireball,15 minutes
3/20/17 19:00,Gemmrigheim (Germany),,Chevron,30 seconds
3/20/17 04:47,Dallas,TX,Oval,30 seconds
3/19/17 23:50,Berlin,CT,Light,For the past 6 months
3/19/17 23:00,Willard,KY,Formation,2 hours
3/19/17 21:15,Greenville,SC,Formation,10 minutes
3/19/17 21:00,Carroll,IA,Triangle,45 seconds
3/19/17 20:45,Van Nuys,CA,Unknown,2 minutes
3/19/17 20:30,Metairie,LA,Light,30 seconds
3/19/17 20:00,Carthage,NC,Light,Evening
3/19/17 18:45,Phoenix,AZ,Changing,5 minutes
3/19/17 10:15,Tempe,AZ,Light,90
3/19/17 03:00,Forest Grove,OR,Light,30 minutes +
3/19/17 01:00,Kullamaa (Estonia),,Fireball,5 minutes
3/19/17 00:30,Nunley,AR,Other,Hovering
3/18/17 23:00,Cleveland,TN,Light,49 minutes
3/18/17 23:00,Palm Springs,CA,Formation,30 seconds
3/18/17 22:58,Green Bay,WI,Oval,minutes
3/18/17 21:45,Washington,LA,Teardrop,20 minutes
3/18/17 21:45,Monticello,GA,Other,10 minutes
3/18/17 21:30,Elkton,MD,Sphere,10 minutes
3/18/17 21:00,Arkansas City,KS,Light,10 minutes
3/18/17 20:59,Austin,TX,Triangle,3 minutes
3/18/17 20:35,Pompano Beach,FL,Sphere,15
3/18/17 20:35,Dallas,TX,Sphere,15 seconds
3/18/17 20:30,Naples,FL,Sphere,>5 minutes
3/18/17 20:30,Parrish,FL,Circle,5 minutes
3/18/17 20:22,West Palm Beach,FL,Light,1 minute
3/18/17 20:15,Jacksonville,FL,Circle,4 minutes
3/18/17 20:15,Sebastian,FL,Circle,10 minutes
3/18/17 19:30,Lantana,FL,Circle,10 minutes
3/18/17 19:30,Lantana,FL,Unknown,15 minutes
3/18/17 19:30,Actworth,GA,Rectangle,12 minutes
3/18/17 19:00,Port Saint Lucie,FL,Sphere,3 minutes
3/17/17 23:00,Bartlett,MO,Other,1 year
3/17/17 22:35,Wasilla,AK,Unknown,2-3 minutes
3/17/17 22:00,Grandview,TX,Light,Hours
3/17/17 22:00,Kansas City,KS,Light,12 seconds
3/17/17 21:45,Kansas City,KS,Light,12 seconds
3/17/17 21:30,Mandeville,LA,Sphere,6 seconds
3/17/17 21:00,Franklin,TN,Light,5 minutes
3/17/17 21:00,Montague,NJ,Circle,>4 hours
3/17/17 20:00,Portsmouth,NH,Triangle,2 minutes
3/17/17 19:26,Tacna (Peru),,Circle,1 minute
3/17/17 18:20,Riverside,CA,Disk,8 seconds
3/17/17 06:00,Putney,GA,Triangle,05:00 minutes
3/17/17 02:00,Rockville,MD,Changing,5
3/16/17 23:30,Ruso,ND,Light,30 seconds
3/16/17 23:10,Gull Lake,MI,Light,Hour/2
3/16/17 21:41,Salem,OR,Flash,3 seconds
3/16/17 21:00,Auburn,WA,Light,10 minutes
3/16/17 20:12,Tempe,AZ,Other,50 minutes
3/16/17 19:35,Chandler,AZ,Triangle,1 minute
3/16/17 17:00,Las Cruces,NM,Fireball,<1 hour
3/16/17 06:35,Dallas (Lakewood area),TX,Flash,15 seconds
3/16/17 00:00,Springfield,MO,Disk,45 seconds
3/15/17 23:25,Sand Rock,AL,Circle,Few seconds
3/15/17 21:34,Ireland (city not specified),,Triangle,5 seconds
3/15/17 21:00,St. Augustine,FL,Triangle,1 minute
3/15/17 20:35,Madison,WI,Other,30 seconds
3/15/17 20:21,San Diego,CA,Formation,13 minutes
3/15/17 20:00,Bayville,NJ,Unknown,Unsure
3/15/17 19:55,San Diego,CA,Circle,2 minutes
3/15/17 17:50,Chesnee,SC,Light,10 minutes
3/15/17 17:50,Phoenix,AZ,Oval,5 minutes
3/15/17 13:28,St. Robert,MO,Light,3 minutes
3/15/17 09:51,Huntsville,AL,Disk,~6 minutes
3/15/17 07:15,Phoenix,AZ,Circle,25 minutes
3/15/17 06:00,Wellington,FL,Circle,15
3/15/17 03:00,Volcano,CA,Light,2 hours
3/15/17 02:00,Cherry Springs Community,TX,Rectangle,Still Picture
3/14/17 23:50,Aliso Viejo,CA,Light,30 minutes
3/14/17 23:30,Anchorage,AK,Other,20 seconds
3/14/17 23:30,Anchorage,AK,Diamond,20 seconds
3/14/17 22:33,Madison,WI,Light,
3/14/17 22:10,Lava Hot Springs,ID,Other,8 minutes
3/14/17 20:24,Chandler,AZ,Sphere,2 minutes
3/14/17 20:00,Taylorsville,UT,Diamond,10 minutes
3/14/17 18:30,Denver,CO,Circle,1 hour
3/14/17 06:45,Phoenix,AZ,Other,5-10 minutes
3/14/17 05:00,Goodyear,AZ,Triangle,2 hours
3/14/17,Tampa,FL,Light,30 minutes
3/13/17 21:26,Mesa,AZ,Sphere,6 minutes
3/13/17 21:00,Glendale,AZ,Light,20 minutes
3/13/17 20:50,Redlands,CA,Oval,30 seconds
3/13/17 14:00,Las Vegas,NV,Egg,1 minute
3/12/17 23:00,Colton,OR,Other,5 minutes
3/12/17 22:15,Wyandotte,MI,Light,ongoing
3/12/17 20:43,Gloucester,VA,Light,25 seconds
3/12/17 20:40,Mount Airy,NC,Sphere,5 seconds
3/12/17 20:01,Sanford,NC,Circle,35 minutes
3/12/17 20:00,Long Beach,CA,Flash,5 minutes
3/12/17 20:00,Redlands,CA,Sphere,1 hour
3/12/17 19:45,Tacoma,WA,Circle,~10 minutes
3/12/17 19:45,Hot Springs National Park,AR,Formation,2:00 minutes
3/12/17 19:30,Paw Paw,MI,Light,4 minutes
3/12/17 18:20,Boaz,AL,Unknown,10 minutes
3/12/17 18:00,Chapmanville,WV,Light,2-3 seconds
3/12/17 08:10,Elk Grove,CA,Sphere,40 minutes
3/12/17 08:10,Elk Grove,CA,Sphere,40 minutes
3/12/17 00:00,Detroit,MI,Flash,30 seconds
3/11/17 23:15,Atlanta,GA,Light,15 seconds
3/11/17 22:00,Lewis center,OH,Fireball,3 minutes
3/11/17 21:41,Virginia Beach,VA,Fireball,3 minutes
3/11/17 21:31,Ottawa (Canada),ON,Oval,4-5 seconds
3/11/17 21:00,Camp Hill,PA,Unknown,3 minutes
3/11/17 20:55,Casa Grande,AZ,Circle,3 minutes
3/11/17 20:00,Concord,NC,Light,5 minutes
3/11/17 19:50,Oley,PA,Circle,<1
3/11/17 18:00,Lavallette,NJ,Other,8 hours
3/11/17 18:00,Lavallette,NJ,Other,8 hours
3/11/17 06:00,Mt. Airy,NC,Cigar,1 second
3/11/17 05:00,Wausau,WI,Cigar,15 minutes
3/10/17 23:00,Frisco,TX,Oval,2-3 minutes
3/10/17 22:00,Yarmouth (Nova Scotia)(Canada),NS,Rectangle,2 minutes
3/10/17 20:45,Grand Terrace,CA,Unknown,5-7 minutes
3/10/17 20:30,Clarksville,TN,Other,10 minutes
3/10/17 20:30,Clarksville,TN,Cigar,15 minutes
3/10/17 20:00,Memphis,TN,,10 seconds
3/10/17 19:15,Des Moines,WA,Light,5 minutes
3/10/17 08:00,Alexandria,IN,Circle,30 minutes
3/10/17 05:55,Battle Creek,MI,Light,5 minutes
3/10/17 00:30,Newton,KS,Triangle,~10 minutes
3/9/17 00:00,Bellevue,WA,Unknown,20 minutes
3/9/17 00:00,Dartmouth (Canada),NS,Light,1 hour
3/9/17 21:25,Phoenix,AZ,Formation,1
3/9/17 21:00,Valley Center,CA,Circle,10 minutes
3/9/17 20:30,St. Louis,MO,Light,20 seconds
3/9/17 20:00,Port Saint Lucie,FL,Triangle,7 minutes
3/9/17 19:45,LaFayette,IL,Light,5 minutes
3/9/17 19:37,Las Vegas,NV,Light,3 minutes
3/9/17 19:00,Chawton (near) (Hampshire),,Light,~1 minute
3/9/17 18:35,Prince Albert (Canada),SK,Other,2 minutes
3/9/17 15:30,Clinton,MD,Other,40 seconds
3/9/17 15:15,Leonardtown,MD,Circle,15-25 seconds
3/9/17 05:55,Saint Joseph,MO,Sphere,20 second
3/9/17 03:12,Vestavia,AL,Oval,1 hour +
3/9/17 01:00,Melbourne,FL,Light,10 minutes
3/8/17 23:30,Lockwood,MO,Triangle,10 minutes
3/8/17 21:30,Belvidere,NJ,Disk,unknown
3/8/17 20:00,Piney Flats,TN,Circle,30 minutes
3/8/17 18:30,Riverdale,NJ,Circle,15 minutes
3/8/17 16:54,Ypsilanti,MI,Circle,1 hour
3/8/17 02:00,Phoenix,AZ,Unknown,10 minutes
3/8/17 00:30,Gray Court,SC,Light,15 minutes
3/8/17 00:30,Gray Court,SC,Light,15 minutes
3/7/17 23:00,Princeton,IN,Light,3 hours+
3/7/17 21:20,Philadelphia,PA,Chevron,>1 minute
3/7/17 20:30,San Angelo,TX,Triangle,30-40 seconds
3/7/17 20:10,Summerville,SC,Sphere,15-20 seconds
3/7/17 20:00,Lexington,KY,Oval,2 minutes
3/7/17 19:00,Fort Worth,TX,Light,40 minutes
3/7/17 13:00,Surry,VA,Disk,
3/7/17 12:00,Jamestown,CA,Fireball,4 hours
3/6/17 22:00,Elkton,MD,Rectangle,2 minutes
3/6/17 22:00,Wenatchee,WA,Light,
3/6/17 21:48,Meridian,MS,Diamond,10 seconds
3/6/17 19:58,Modesto,CA,Circle,6 minutes
3/6/17 19:50,Coalville (UK/England),,Light,~30 seconds
3/6/17 19:11,Ft. Lauderdale,FL,Circle,10 seconds
3/6/17 18:45,Walker,LA,Triangle,2-3 minutes
3/6/17 13:00,Tralee (Ireland),,Cigar,7 minutes
3/6/17 12:15,Lisbon,ME,Fireball,20 second
3/6/17 04:15,Milford,CT,Disk,1 hour
3/5/17 23:05,Nashua,NH,Circle,
3/5/17 22:28,Brookline,NH,Light,10 minutes
3/5/17 20:29,Anchorage,AK,Circle,30 minutes
3/5/17 20:00,Holbrook,NY,Teardrop,5 minutes
3/5/17 14:00,Anola (Canada),MB,Sphere,1-2 minutes
3/5/17 13:30,Honeybrook,PA,Circle,1 minute
3/5/17 10:00,San Fernando,CA,,1 minute
3/5/17 03:04,Upper Freehold Township,NJ,Other,10 minutes
3/4/17 23:00,Pittsburgh,PA,Light,2-3 minutes
3/4/17 22:31,Powell,TN,Circle,Ongoing
3/4/17 21:48,Sioux Falls,SD,Sphere,5 seconds
3/4/17 21:00,Absarokee,MT,Other,1 hour
3/4/17 20:30,Amelia Island,FL,Triangle,8 seconds
3/4/17 20:28,Basingstoke (Hampshire)(UK/England),,Flash,2 minutes
3/4/17 20:10,Donaldsonville,GA,Light,2:00 minutes
3/4/17 19:40,Lynchburg,VA,Diamond,"45 minutes, I went in"
3/4/17 19:20,Plymouth,NH,Diamond,unsure
3/4/17 19:00,Kaukauna,WI,Light,45 minutes
3/4/17 18:42,Lynchburg,VA,Fireball,3 minutes
3/4/17 18:30,Monson,ME,,5 minutes
3/4/17 15:30,Kitchener (Canada),ON,Light,30-60 seconds
3/4/17 15:00,Cleveland,OH,Cylinder,10 minutes
3/4/17 05:45,Ashland,NE,Diamond,2
3/4/17 04:00,Soldotna,AK,Unknown,1-2 minutes
3/4/17 01:00,Englewood,CO,Disk,3-5 seconds
3/3/17 21:38,Fairbanks,AK,Sphere,1-2 minutes
3/3/17 21:00,Temecula,CA,Triangle,20 seconds
3/3/17 20:28,Blacksburg,VA,Light,idk
3/3/17 20:10,Mayaguez (Puerto Rico),,Fireball,3 seconds
3/3/17 19:36,Yuma,AZ,Oval,1.5 minutes
3/3/17 19:30,Longmont,CO,Light,>1 hour
3/3/17 19:25,Wilmington,DE,Fireball,30 seconds
3/3/17 19:05,Ridgecrest,CA,Unknown,45 seconds
3/3/17 19:05,Ridgecrest,CA,Unknown,45 seconds
3/3/17 17:30,Wetumpka,AL,Sphere,5 seconds
3/3/17 08:15,Anchorage,AK,Fireball,10
3/3/17 06:10,Index,WA,Formation,1 minute
3/3/17 00:00,Fort Myers,FL,Light,1-2 hours
3/2/17 22:30,Lake Conroe,TX,Light,3 hours
3/2/17 22:00,Waco,TX,Triangle,2-3 minutes
3/2/17 21:45,Floodwood,MN,Oval,Active
3/2/17 20:00,Springfield,MO,Triangle,1 minute
3/2/17 11:20,Burbank,,Sphere,00:00:10
3/2/17 05:00,Fayetteville,TN,Triangle,20 seconds
3/1/17 20:21,Cloquet,MN,Triangle,30 seconds
3/1/17 20:00,St. Clair,MI,Light,Hours
3/1/17 20:00,Dodge City,KS,Circle,10 hours
3/1/17 19:30,Kaukauna,WI,Light,ongoing
3/1/17 18:45,Hamilton,OH,Circle,
3/1/17 18:30,Ingram,TX,Flash,5 seconds
3/1/17 13:35,Islip Terrace,NY,Rectangle,4 hours
3/1/17 02:20,Mountain City,TN,Triangle,2 hours
2/28/17 19:45,Phoenix,AZ,Fireball,3 minutes
2/28/17 18:57,Atascocta,TX,Unknown,4 second
2/28/17 18:30,Miami,FL,Triangle,8:30
2/28/17 12:00,Jamestown,CA,Fireball,4 hours
2/28/17 04:50,Vacaville,CA,Sphere,2-3 seconds
2/28/17 00:30,Thorndale,PA,,1-2 seconds
2/27/17 19:30,Fountain,CO,Cross,1 hour
2/27/17 19:30,Billings,MT,Light,5 minutes
2/27/17 19:00,Plains,KS,Light,1 hour +-
2/27/17 18:40,Crescent Valley,NV,Unknown,5 minutes
2/27/17 18:11,Folsom,CA,Sphere,30-60 seconds
2/27/17 01:30,Tuscaloosa,AL,Unknown,~30 minutes
